"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 03월 12일","96.94","97.05","97.28","96.86","-","-0.29%"
"2019년 03월 11일","97.22","97.39","97.45","96.92","-","-0.09%"
"2019년 03월 08일","97.31","97.61","97.64","97.25","-","-0.37%"
"2019년 03월 07일","97.67","96.83","97.71","96.81","-","0.83%"
"2019년 03월 06일","96.87","96.90","96.99","96.78","-","0.00%"
"2019년 03월 05일","96.87","96.67","97.01","96.66","-","0.20%"
"2019년 03월 04일","96.68","96.34","96.82","96.33","-","0.16%"
"2019년 03월 01일","96.53","96.22","96.55","96.07","-","0.38%"
"2019년 02월 28일","96.16","96.09","96.28","95.82","-","0.01%"
"2019년 02월 27일","96.15","96.06","96.19","95.88","-","0.16%"
"2019년 02월 26일","96.00","96.39","96.46","95.95","-","-0.43%"
"2019년 02월 25일","96.41","96.52","96.60","96.32","-","-0.10%"
"2019년 02월 22일","96.51","96.59","96.78","96.42","-","-0.10%"
"2019년 02월 21일","96.61","96.49","96.66","96.36","-","0.17%"
"2019년 02월 20일","96.45","96.53","96.65","96.29","-","-0.07%"
"2019년 02월 19일","96.52","96.81","97.08","96.43","-","-0.39%"
"2019년 02월 18일","96.90","96.81","96.90","96.65","-","0.00%"
"2019년 02월 15일","96.90","97.06","97.37","96.83","-","-0.08%"
"2019년 02월 14일","96.98","97.14","97.28","96.95","-","-0.15%"
"2019년 02월 13일","97.13","96.73","97.26","96.63","-","0.43%"
"2019년 02월 12일","96.71","97.06","97.20","96.65","-","-0.36%"
"2019년 02월 11일","97.06","96.66","97.12","96.62","-","0.43%"
"2019년 02월 08일","96.64","96.60","96.69","96.45","-","0.13%"
"2019년 02월 07일","96.51","96.39","96.67","96.38","-","0.12%"
"2019년 02월 06일","96.39","96.06","96.42","96.04","-","0.33%"
"2019년 02월 05일","96.07","95.83","96.12","95.81","-","0.23%"
"2019년 02월 04일","95.85","95.60","95.92","95.57","-","0.28%"
"2019년 02월 01일","95.58","95.55","95.66","95.40","-","0.00%"
"2019년 01월 31일","95.58","95.35","95.62","95.16","-","0.25%"
"2019년 01월 30일","95.34","95.79","95.98","95.25","-","-0.50%"
"2019년 01월 29일","95.82","95.74","95.87","95.62","-","0.07%"
"2019년 01월 28일","95.75","95.79","95.92","95.64","-","-0.04%"
"2019년 01월 25일","95.79","96.49","96.53","95.74","-","-0.84%"
"2019년 01월 24일","96.60","96.07","96.68","96.04","-","0.50%"
"2019년 01월 23일","96.12","96.31","96.37","96.05","-","-0.19%"
"2019년 01월 22일","96.30","96.34","96.48","96.22","-","-0.04%"
"2019년 01월 21일","96.34","96.35","96.43","96.20","-","0.00%"
